Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,combined,flavors
Apricot Blush,,,"vanilla flavored vodka, luxardo apricot liqueur, fresh sweet n' sour mix, prosecco,  oz sliced plum, 2 sprigs mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.",1,0,0,1,0,0,0,"vanilla flavored vodka, luxardo apricot liqueur, fresh sweet n' sour mix, prosecco,  oz sliced plum, 2 sprigs mint sprig,floral,fruity",",floral,fruity"
Apricot Lady,Old Fashioned Glass,,"light rum, luxardo apricot liqueur, .25 tsp triple sec, 1 tbsp lime juice, 1  egg white",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,0,1,0,1,0,0,0,"light rum, luxardo apricot liqueur, .25 tsp triple sec, 1 tbsp lime juice, 1  egg white,citrus,fruity",",citrus,fruity"
Arapa Cocktail,Martini,,"barsol supremo moste verde italia pisco, junipero gin, luxardo triplum (triple sec), lemon juice, 1 dash fee bros. rhubard bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,0,1,0,1,0,0,1,"barsol supremo moste verde italia pisco, junipero gin, luxardo triplum (triple sec), lemon juice, 1 dash fee bros. rhubard bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
Arizona Stingers,Hurricane glass,,"absolut vodka,iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,0,0,0,0,0,0,0,"absolut vodka,iced tea",
Arizona Twister,Hurricane glass,,"vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",0,1,0,1,0,0,0,"vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple,citrus,fruity",",citrus,fruity"
Army special,Cocktail glass,,"vodka,gin,lime juice cordial,ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",0,1,0,0,0,0,0,"vodka,gin,lime juice cordial,ice,citrus",",citrus"
Assemble Mule,Highball Glass,,"monkey shoulder blended scotch whisky, king's ginger liqueur, mezcal, agave syrup, lime juice, 4  mint leaves,  top prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.",1,1,0,0,0,1,0,"monkey shoulder blended scotch whisky, king's ginger liqueur, mezcal, agave syrup, lime juice, 4  mint leaves,  top prosecco,floral,citrus,sweet",",floral,citrus,sweet"
Astoria,Cocktail Glass,,"junipero gin, dry vermouth, 1-2 dash orange bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.",0,1,0,0,0,0,1,"junipero gin, dry vermouth, 1-2 dash orange bitters,citrus,bitter",",citrus,bitter"
Aviation,Cocktail glass,Unforgettables,"gin,lemon juice,maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,0,1,0,0,0,0,0,"gin,lemon juice,maraschino liqueur,citrus",",citrus"
Aviation (Adapted),Cocktail Glass,,"no.3 london dry gin, luxardo maraschino liqueur, fresh lemon juice, tempus fugit liqueur de violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.",1,1,0,0,0,0,0,"no.3 london dry gin, luxardo maraschino liqueur, fresh lemon juice, tempus fugit liqueur de violettes,floral,citrus",",floral,citrus"
B-String,Coupe,,"h by hine, lustau amontillado sherry, giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.,0,0,0,1,0,0,1,"h by hine, lustau amontillado sherry, giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters),fruity,bitter",",fruity,bitter"
Bachelor's Bait,Cocktail Glass,,"junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white",Shake with cracked ice and strain into a chilled cocktail glass.,0,1,0,1,0,0,1,"junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white,citrus,fruity,bitter",",citrus,fruity,bitter"
Bacio Romana,Coupe,,"luxardo bitter bianco, barsol pisco, luxardo maraschino liqueur, dry vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,0,0,0,0,0,0,1,"luxardo bitter bianco, barsol pisco, luxardo maraschino liqueur, dry vermouth,bitter",",bitter"
Baile de Verano,Highball Glass,,"barsol perfecto amor (aperitif wine), penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",0,0,0,0,0,0,0,"barsol perfecto amor (aperitif wine), penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture",
Bajo Control,Hurricane Glass,,"barsol perfecto amor (aperitif wine), dolin dry vermouth, lemon juice, agave syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add Lager. Garnish with an orange horse-neck peel.",0,1,0,0,0,1,0,"barsol perfecto amor (aperitif wine), dolin dry vermouth, lemon juice, agave syrup,citrus,sweet",",citrus,sweet"
Bakko & Zengo,,,"nikka coffey grain whisky, house-made allspice dram, heavy cream, simple syrup, 1  whole egg, 2 dash chocolate bitters",Served in a snifter with grated cinnamon.,0,0,0,0,0,1,1,"nikka coffey grain whisky, house-made allspice dram, heavy cream, simple syrup, 1  whole egg, 2 dash chocolate bitters,sweet,bitter",",sweet,bitter"
Banana's Froster,,,"junipero gin, briottet creme de banane, cream (half & half), 2 dash chocolate bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.",0,0,0,0,0,0,1,"junipero gin, briottet creme de banane, cream (half & half), 2 dash chocolate bitters,bitter",",bitter"
Barbary Coast Bulldog,Bucket,,"hophead vodka, luxardo espresso italian liqueur, cream, mexican coca cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.",0,0,0,0,0,0,0,"hophead vodka, luxardo espresso italian liqueur, cream, mexican coca cola",
Barrel Aged Ginger Negroni,,,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve.",0,0,0,0,0,0,0,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth",
Basil Gin and Tonic,,,"lime juice, 1 spg basil, tonic water, junipero gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.",0,1,0,0,0,0,0,"lime juice, 1 spg basil, tonic water, junipero gin,citrus",",citrus"
Basilway Daquiri,Coupe,,"basil-infused white rum, king's ginger liqueur, fresh lime juice, luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,0,1,0,1,0,0,0,"basil-infused white rum, king's ginger liqueur, fresh lime juice, luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet,citrus,fruity",",citrus,fruity"
Bay City Shandy,,,"hophead vodka, giffard pamplemousse, lemon juice, 2 dash orange bitters,  top ipa","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",0,1,0,0,0,0,1,"hophead vodka, giffard pamplemousse, lemon juice, 2 dash orange bitters,  top ipa,citrus,bitter",",citrus,bitter"
Beachcomber,Cocktail Glass,,"light rum,  cointreau, lime juice, luxardo maraschino liqueur, simple syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,0,1,0,0,0,1,0,"light rum,  cointreau, lime juice, luxardo maraschino liqueur, simple syrup (optional),citrus,sweet",",citrus,sweet"
Bermuda Highball,Collins,,"chateau de montifaud cognac vsop, plymouth gin, contratto bianco vermouth, 2 dash regans' orange bitters no. 6, club soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,0,1,0,0,0,0,1,"chateau de montifaud cognac vsop, plymouth gin, contratto bianco vermouth, 2 dash regans' orange bitters no. 6, club soda,citrus,bitter",",citrus,bitter"
Bianco Americano,,,"luxardo bitter bianco, tempus fugit kina l'aero d'or, junipero gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.,0,0,0,0,0,0,1,"luxardo bitter bianco, tempus fugit kina l'aero d'or, junipero gin,bitter",",bitter"
Big and Bright,Collins,,"no.3 london dry gin, king's ginger liqueur, fresh grapefruit juice, honey, fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda",Serve tall on the rocks.,0,1,0,1,0,1,1,"no.3 london dry gin, king's ginger liqueur, fresh grapefruit juice, honey, fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda,citrus,fruity,sweet,bitter",",citrus,fruity,sweet,bitter"
