Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,popularity
A Regal Air ,Martini,,"domingo perez marin 'la guita' manzanilla sherry, king's ginger liqueur, chartreuse , juice of an orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,0,1,0,0,0,0,0,
A Tall Tell,,,"c. drouin calvados selection, marrakesh mint tea, prosecco, king's ginger liqueur, lemon juice, velvet falernum, dale degroff's pimento aromatic bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,1,1,0,0,0,0,1,
A True Amaretto Sour,Old-fashioned glass,,"amaretto,lemon,ice,maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",0,1,0,1,0,0,0,
A.D.M. (After Dinner Mint),Irish coffee cup,,"white creme de menthe,southern comfort,vodka,hot chocolate",shake vigorously,0,0,0,0,0,0,0,
A.Nise,Rocks Glass,,"pink pigeon rum, luxardo amaretto di saschira, osha falernum, lemon juice, pineapple juice, 3 dash orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,0,1,0,1,0,0,1,
A1,Cocktail glass,,"gin,grand marnier,lemon juice,grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",0,1,0,0,0,0,0,
Abano Sour,,,"luxardo amaro abano, fresh lemon juice, agave nectar, 1 dash grapefruit bitters, egg white",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,0,1,0,1,0,1,1,
Abbey Martini,Cocktail glass,,"gin,sweet vermouth,orange juice,angostura bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",0,1,0,0,0,0,1,6973
Above My Pay Grade,Coupe,,"semper fi white whiskey, chateau de montifaud pineau des charentes rose, tempus fugit gran classico bitter, 3 dash house-made citrus bitters",Stir and strain.,1,1,0,0,0,0,1,
Abrazo Latino,Coupe,,"chinaco reposado tequila, luxardo amaro abano, luxardo triplum (triple sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,0,0,0,1,0,0,0,
Absolut Summertime,Collins glass,,"absolut citron,sweet and sour,sprite,soda water,lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,0,1,0,0,0,0,0,
Absolutely Fabulous,Champagne flute,,"vodka,cranberry juice,champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,0,0,0,1,0,0,0,
Absolutly Screwed Up,Collins glass,,"absolut citron,orange juice,triple sec,ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",0,1,0,0,0,0,0,
Ace,Martini Glass,,"gin,grenadine,heavy cream,milk,egg white",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,0,0,0,0,0,0,0,
Across The Pond,Rocks Glass,,"junipero gin, king's ginger liqueur, round pond meyer lemon syrup, fresh lemon juice, 1 splash soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",0,1,0,0,0,0,0,
Adam & Eve,Cocktail glass,,"gin,cognac,creme de cassis,fresh lemon juice",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,0,0,
Addington,Cocktail glass,,"sweet vermouth,dry vermouth,soda water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,0,0,0,0,0,0,0,
Addison,Martini Glass,,"gin,vermouth",Shake together all the ingredients and strain into a cold glass.,0,0,0,0,0,0,0,
Addison Special,Old-fashioned glass,,"vodka,grenadine,orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,0,1,0,0,0,0,0,
Adios Amigos Cocktail,Martini Glass,,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water",Shake together all the ingredients and strain into a cold glass.,0,1,0,0,0,1,0,
Alaska Cocktail,Coupe,,"no.3 london dry gin, green chartreuse, 3 dash orange bitters",Stir in mixing glass and serve in a chilled coupe.,0,1,0,0,0,0,1,
Almond Brother,Coupe,,"reposado tequila, luxardo amaretto di saschira, 1 tsp luxardo apricot liqueur, lime juice, luxardo orgeat syrup, maple syrup","Shake with ice, strain into a coupe. No garnish.",0,1,0,1,0,0,0,
Almond Crusta,Coupe,,"h by hine, junipero gin, lemonjuice, orgeat, 1 dash angostura bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,0,1,0,0,0,0,1,
Amaretto Bourbon Punch,Punch Bowl,,"hirsch small batch reserve bourbon, luxardo amaretto di saschira, fresh lemon juice, sparkling apple juice, simple syrup, seltzer",Mix ingredients in the punch bowl.,0,1,0,1,0,1,0,
"Amaretto Jello Shot, Why Not",,,"boiling water, 6 packages raspberry jello packages, luxardo amaretto di saschira, fresh lime juice, cold water",This is a recipe for Jello Shots!,0,1,0,1,0,0,0,
Amaretto Rose,Collins,,"luxardo amaretto di saschira, lime juice,  fill club soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,0,1,0,0,0,0,0,
Amaretto Sour,Old Fashioned Glass,,"luxardo amaretto di saschira, fresh lemon juice, simple syrup, egg white",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,1,0,
Amaretto Sour (Modern),Old Fashioned Glass,,"luxardo amaretto di saschira, fresh squeezed lemon juice, pasteurized egg white, 1, small scoop lemon sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,0,1,0,0,0,0,0,
Amaretto Sour BV-Style,Coupe,,"luxardo amaretto di saschira, bourbon, fresh lime juice, pineapple juice, fresh egg white, 2 dash angostura bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,0,1,0,1,0,0,1,
Amaretto Sourball,Old Fashioned Glass,,"vodka, luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.",0,1,0,0,0,0,0,
Americana Fizz (Layered Cocktail),Highball Glass,,"junipero gin, fresh lemon juice, simple syrup, the genuine curacao liqueur blue, luxardo aperitivo,  splash perrier grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/Curacao Blue. Top the cocktail with 1/Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.",0,1,0,1,0,1,0,
And The Cherry On Top Is...,Tall Glass,,"luxardo maraschino liqueur, vodka, root 23 cherry almond simple syrup, lemon juice,  splash club soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.",0,1,0,1,0,1,0,
Andy Warhol,Collins,,"no.3 london dry gin, tempus fugit alessio vermouth bianco, fresh squeezed ruby grapefruit, simple syrup, 3 slices cucumber, 1 fill soda water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
",0,0,0,1,0,1,0,
Angel Face (Classic),,,"luxardo apricot liqueur, c. drouin calvados selection, no.3 london dry gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.",0,0,0,1,0,0,0,
Angel's Face,Cocktail Glass,,"no.3 london dry gin, applejack, luxardo apricot liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",0,0,0,1,0,0,0,
Aperitivo Spritz,,,"luxardo aperitivo, prosecco, 1 splash sparkling water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",1,0,0,0,0,0,0,
Applejack,Cocktail glass,,"jack daniels,midori melon liqueur,sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass",0,1,0,0,0,0,0,
Apples & Grapes,,,"tempus fugit kina l'aero d'or, c. drouin pommeau de normandie, 2 dash orange bitters",On the rocks with twist.,0,1,0,0,0,0,1,
Apricot Blush,,,"vanilla flavored vodka, luxardo apricot liqueur, fresh sweet n' sour mix, prosecco,  oz sliced plum, 2 sprigs mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.",1,0,0,1,0,0,0,
Apricot Lady,Old Fashioned Glass,,"light rum, luxardo apricot liqueur, .25 tsp triple sec, 1 tbsp lime juice, 1  egg white",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,0,1,0,1,0,0,0,
Arapa Cocktail,Martini,,"barsol supremo moste verde italia pisco, junipero gin, luxardo triplum (triple sec), lemon juice, 1 dash fee bros. rhubard bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,0,1,0,1,0,0,1,
Arizona Stingers,Hurricane glass,,"absolut vodka,iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,0,0,0,0,0,0,0,
Arizona Twister,Hurricane glass,,"vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",0,1,0,1,0,0,0,
Army special,Cocktail glass,,"vodka,gin,lime juice cordial,ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",0,1,0,0,0,0,0,
Assemble Mule,Highball Glass,,"monkey shoulder blended scotch whisky, king's ginger liqueur, mezcal, agave syrup, lime juice, 4  mint leaves,  top prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.",1,1,0,0,0,1,0,
Astoria,Cocktail Glass,,"junipero gin, dry vermouth, 1-2 dash orange bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.",0,1,0,0,0,0,1,
Aviation,Cocktail glass,Unforgettables,"gin,lemon juice,maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,0,1,0,0,0,0,0,
Aviation (Adapted),Cocktail Glass,,"no.3 london dry gin, luxardo maraschino liqueur, fresh lemon juice, tempus fugit liqueur de violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.",1,1,0,0,0,0,0,
B-String,Coupe,,"h by hine, lustau amontillado sherry, giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.,0,0,0,1,0,0,1,
Bachelor's Bait,Cocktail Glass,,"junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white",Shake with cracked ice and strain into a chilled cocktail glass.,0,1,0,1,0,0,1,
Bacio Romana,Coupe,,"luxardo bitter bianco, barsol pisco, luxardo maraschino liqueur, dry vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,0,0,0,0,0,0,1,
Baile de Verano,Highball Glass,,"barsol perfecto amor (aperitif wine), penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",0,0,0,0,0,0,0,
Bajo Control,Hurricane Glass,,"barsol perfecto amor (aperitif wine), dolin dry vermouth, lemon juice, agave syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add Lager. Garnish with an orange horse-neck peel.",0,1,0,0,0,1,0,
Bakko & Zengo,,,"nikka coffey grain whisky, house-made allspice dram, heavy cream, simple syrup, 1  whole egg, 2 dash chocolate bitters",Served in a snifter with grated cinnamon.,0,0,0,0,0,1,1,
Banana's Froster,,,"junipero gin, briottet creme de banane, cream (half & half), 2 dash chocolate bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.",0,0,0,0,0,0,1,
Barbary Coast Bulldog,Bucket,,"hophead vodka, luxardo espresso italian liqueur, cream, mexican coca cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.",0,0,0,0,0,0,0,
Barrel Aged Ginger Negroni,,,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve.",0,0,0,0,0,0,0,
Basil Gin and Tonic,,,"lime juice, 1 spg basil, tonic water, junipero gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.",0,1,0,0,0,0,0,
Basilway Daquiri,Coupe,,"basil-infused white rum, king's ginger liqueur, fresh lime juice, luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,0,1,0,1,0,0,0,
Bay City Shandy,,,"hophead vodka, giffard pamplemousse, lemon juice, 2 dash orange bitters,  top ipa","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",0,1,0,0,0,0,1,
Beachcomber,Cocktail Glass,,"light rum,  cointreau, lime juice, luxardo maraschino liqueur, simple syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,0,1,0,0,0,1,0,
Bermuda Highball,Collins,,"chateau de montifaud cognac vsop, plymouth gin, contratto bianco vermouth, 2 dash regans' orange bitters no. 6, club soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,0,1,0,0,0,0,1,
Bianco Americano,,,"luxardo bitter bianco, tempus fugit kina l'aero d'or, junipero gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.,0,0,0,0,0,0,1,
Big and Bright,Collins,,"no.3 london dry gin, king's ginger liqueur, fresh grapefruit juice, honey, fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda",Serve tall on the rocks.,0,1,0,1,0,1,1,
Bird is the Word,Coupe,,"pink pigeon rum, luxardo maraschino liqueur, green chartreuse, lime juice, pineapple juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,0,1,0,1,0,0,0,
Bird On,,,"tempus fugit creme de menthe glaciale, tempus fugit alessio vermouth bianco, h by hine, lemon juice, lime juice","Shake, serve on the rocks, garnish with a lemon wedge.",0,1,0,0,0,0,0,
Bird on a Wire,,,"pink pigeon rum, nikka whisky taketsuru pure malt 12 yo, peychaud's bitters, luxardo maraschino liqueur",Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.,0,0,0,0,0,0,1,
Bird to Buck,,,"1 1/2 part pink pigeon rum, 1/2 part benedictine, 1/4 part orgeat syrup, 1/2 part lime,  part fee brothers whiskey barrel bitters",Shake fine and strain on crushed ice. Top with Strong Ginger Beer.,0,1,0,0,0,0,1,
Black Jam,,,"luxardo fernet, honey syrup, fresh lemon juice, tonic water","Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve.",0,1,0,0,0,1,0,
Blood & Sand,Coupe,,"glenrothes vintage reserve, tempus fugit alessio vermouth di torino rosso, luxardo sangue morlacco cherry liqueur, orange juice",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.,0,1,0,1,0,0,0,
Bloody Fernet,,,"luxardo fernet, luxardo maraschino liqueur, 2 scoop blood orange sorbet",Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.,0,1,0,0,0,0,0,
Blue 88,Cocktail Glass,,"no.3 london dry gin, lemon juice, pages elderflower syrup, tempus fugit liqueur de violettes, luxardo maraschino liqueur",Shake well with lots of ice. Strain into cocktail glass.,1,1,0,0,0,0,0,
Boko Buku,Highball Glass,,"mezcal, don ciccio & figli concerto, vanilla marinade, 8 dash mole bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,0,0,0,0,0,0,1,
Boomin' Granny,Champagne Flute,,"h by hine, granny smith apple juice, fresh lime juice, acacia honey syrup,  top sparkling wine",Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,0,1,0,1,0,1,0,
Bourbon Crusta,Vintage Glass,,"bourbon, orchard syrup, lemon juice, 1 bsp luxardo triplum (triple sec), 1 bsp luxardo maraschino liqueur, 3 dash boker’s bitters","Stir with pebble ice, strain into rimmed vintage glass.",0,1,0,1,0,0,1,
Brazilian Mai Tai,Bucket,,"ypioca brasilizar cachaca prata classica, mai tai mix, 1 splash soda water, 1 float english harbour rum","Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish.",0,0,0,0,0,0,0,5761
Brazilian Mule Punch,,,"2 part ypioca brasilizar cachaca prata reserva especial, 1 part fresh lime juice, 1 part ancho chile-infused simple syrup, 1 float ginger beer, 2 dash angostura bitters","Punch Preparation Instructions:
Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. 

*You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.


Individual Cocktail Preparation Instructions:
Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish.",0,1,0,0,0,1,1,
Brisa del Sur,,,"barsol selecto italia pisco, rocoto passion fruit reduction, fresh lime juice, simple syrup",Top with Grapefruit soda. Shake and strain into ice filled glass.,0,1,0,0,0,1,0,
Bubbleliciously Delicious,,,"luxardo fernet, luxardo triplum (triple sec), 1 dash angostura bitters, 2 slices satsuma slices, sioux city sarsparilla soda",Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,0,0,0,1,0,0,1,
Bubbly Bird,Champagne Flute,,"pink pigeon rum, 1 fill champagne, 1 dash angostura bitters, 1 dash peach bitters, 1 dash luxardo fernet",Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,0,0,0,1,0,0,1,
Buccaneer,Coupe,,"junipero gin, campari, velvet falernum, lime juice, simple syrup, 3 large chunks pineapple",Muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. Add all other ingredients. Give the mixture a hard shake. Double strain into chilled coupe.,0,1,0,1,0,1,0,
Buenaventura,Cocktail Glass,,"barsol primero quebranta pisco, el tesoro reposado tequila, grüner veltliner, lime, pineapple gum, 1 bsp sweet marmalade",Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,0,1,0,1,0,0,0,
Bunny Poison,Cocktail Glass,,"rhubarb cucumber & mint-infused junipero gin, lemon juice, tempus fugit alessio vermouth bianco, rhubarb juice, grapefruit juice, rhubarb syrup, 2 dash fee brothers celery bitters","Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise.",0,1,0,1,0,0,1,
Bushido Cocktail,Cocktail Glass,,"nikka whisky taketsuru pure malt 12 yo, pedro ximenez sherry, 2 dash angostura bitters",Stir ingredients and strain into cocktail glass. Garnish with Luxardo Cherry.,0,0,0,0,0,0,1,
Buster Crusta,Coupe,,"h by hine, lemon juice, the genuine curacao liqueur orange, luxardo maraschino liqueur, small hand foods gum syrup, 1 bsp luxardo fernet","Shake, fine strain into chilled frosted coupe, float Fernet.",0,1,0,0,0,0,0,
Buzzard's Bay,Rocks Glass,,"2 part no.3 london dry gin, .5 part real cranberry juice, .25 part luxardo fernet, .5 part lime juice, 1.5 part puer black tea",Build and pour in punch bowl over large ice block.,0,1,0,1,0,0,0,
Cafe Creole,,,"pink pigeon rum, luxardo espresso italian liqueur, heavy cream, simple syrup","In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.
In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.
",0,0,0,0,0,1,0,
Caipirinha,,,"4 pieces lime, 1-2 tbsp sugar, 1 1/ypiòca",Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!,0,1,0,0,0,1,0,5397
California's Callin',Collins,,"junipero gin, luxardo maraschino liqueur, grapefruit juice, lemon juice, 1 dash tempus fugit abbott's bitters,  to fill anchor california lager","Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.",0,1,0,1,0,0,1,
Canary vs. the Coal Mine,Old Fashioned Glass,,"old forester bonded bourbon, h by hine, rock & rye, cocchi americano rosa,   activated charcoal",Stir and strain into an old fashioned glass with a large ice cube.,0,0,0,0,0,0,0,
Cap't of the Seven Seas,Lager,,"ypioca brasilizar cachaca ouro reserva especial, jalapeno-orange simple syrup, coconut milk, 4 dash orange flower water, 9 drops mole bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.,0,1,0,1,0,1,1,
Carrier Pigeon (an Airmail with Pink Pigeon),Champagne Flute,,"pink pigeon rum, lime juice, honey","Short shake-strain into champagne flute- top with champagne. 
Drop a Luxardo cherry into the flute.
",0,1,0,0,0,1,0,
Champs Élysées,Coupe,,"h by hine, lemon juice, green chartreuse, simple syrup, 2 dash angostura bitters",Shake with intent. Double strain in coupe. Garnish with lemon wheel.,0,1,0,0,0,1,1,
Chapman Cobbler,Old Fashioned Glass,,"applejack, amontillado sherry, orgeat, fresh lemon juice, 1 bsp tempus fugit creme de noyaux",Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.,0,1,0,1,0,0,0,
