,Cocktail Name,Glass,Ingredients,Instructions,combined,flavors,popularity
15,A Mi Manera (My Way) Pisco Punch,Punch Glass,"barsol selecto italia pisco, luxardo apricot liqueur, minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.","barsol selecto italia pisco, luxardo apricot liqueur, minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet,citrus,fruity","citrus, fruity, herbaceous",3.5362692695329283
16,A Regal Air ,Martini,"domingo perez marin 'la guita' manzanilla sherry, king's ginger liqueur, chartreuse , juice of an orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,"domingo perez marin 'la guita' manzanilla sherry, king's ginger liqueur, chartreuse , juice of an orange,citrus",citrus,0.8458535166450674
17,A Tall Tell,,"c. drouin calvados selection, marrakesh mint tea, prosecco, king's ginger liqueur, lemon juice, velvet falernum, dale degroff's pimento aromatic bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,"c. drouin calvados selection, marrakesh mint tea, prosecco, king's ginger liqueur, lemon juice, velvet falernum, dale degroff's pimento aromatic bitters,floral,citrus,bitter","bitter, citrus, floral, herbaceous",8.337764880737755
18,A True Amaretto Sour,Old-fashioned glass,"amaretto,lemon,ice,maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.","amaretto,lemon,ice,maraschino cherry,citrus,fruity","citrus, fruity, sweet",0.8476914000447386
19,A.D.M. (After Dinner Mint),Irish coffee cup,"white creme de menthe,southern comfort,vodka,hot chocolate",shake vigorously,"white creme de menthe,southern comfort,vodka,hot chocolate",,7.95003998954488
20,A.Nise,Rocks Glass,"pink pigeon rum, luxardo amaretto di saschira, osha falernum, lemon juice, pineapple juice, 3 dash orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,"pink pigeon rum, luxardo amaretto di saschira, osha falernum, lemon juice, pineapple juice, 3 dash orange bitters,citrus,fruity,bitter","bitter, citrus, fruity",3.270135623102508
21,A1,Cocktail glass,"gin,grand marnier,lemon juice,grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","gin,grand marnier,lemon juice,grenadine,citrus",citrus,0.9648546578054016
22,Abano Sour,,"luxardo amaro abano, fresh lemon juice, agave nectar, 1 dash grapefruit bitters, egg white",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,"luxardo amaro abano, fresh lemon juice, agave nectar, 1 dash grapefruit bitters, egg white,citrus,fruity,sweet,bitter","bitter, citrus, fruity, sweet",1.7666781404119394
23,Abbey Martini,Cocktail glass,"gin,sweet vermouth,orange juice,angostura bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.","gin,sweet vermouth,orange juice,angostura bitters,citrus,bitter","bitter, citrus",0.9233497273522852
24,Above My Pay Grade,Coupe,"semper fi white whiskey, chateau de montifaud pineau des charentes rose, tempus fugit gran classico bitter, 3 dash house-made citrus bitters",Stir and strain.,"semper fi white whiskey, chateau de montifaud pineau des charentes rose, tempus fugit gran classico bitter, 3 dash house-made citrus bitters,floral,citrus,bitter","bitter, citrus, floral",1.395357236036788
25,Abrazo Latino,Coupe,"chinaco reposado tequila, luxardo amaro abano, luxardo triplum (triple sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,"chinaco reposado tequila, luxardo amaro abano, luxardo triplum (triple sec),fruity",fruity,2.480686750073048
26,Absolut Summertime,Collins glass,"absolut citron,sweet and sour,sprite,soda water,lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,"absolut citron,sweet and sour,sprite,soda water,lemon,citrus",citrus,0.9233497273522852
27,Absolutely Fabulous,Champagne flute,"vodka,cranberry juice,champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,"vodka,cranberry juice,champagne,fruity",fruity,3.5362692695329283
28,Absolutly Screwed Up,Collins glass,"absolut citron,orange juice,triple sec,ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.","absolut citron,orange juice,triple sec,ginger ale,citrus",citrus,0.9233497273522852
29,Ace,Martini Glass,"gin,grenadine,heavy cream,milk,egg white",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,"gin,grenadine,heavy cream,milk,egg white",,2.6130241301667176
30,Across The Pond,Rocks Glass,"junipero gin, king's ginger liqueur, round pond meyer lemon syrup, fresh lemon juice, 1 splash soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
","junipero gin, king's ginger liqueur, round pond meyer lemon syrup, fresh lemon juice, 1 splash soda water,citrus",citrus,1.8607231597750924
31,Adam & Eve,Cocktail glass,"gin,cognac,creme de cassis,fresh lemon juice",Shake together all the ingredients and strain into a cold glass.,"gin,cognac,creme de cassis,fresh lemon juice,citrus",citrus,1.821098572854576
32,Addington,Cocktail glass,"sweet vermouth,dry vermouth,soda water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,"sweet vermouth,dry vermouth,soda water",,8.872632567942773
33,Addison,Martini Glass,"gin,vermouth",Shake together all the ingredients and strain into a cold glass.,"gin,vermouth",,1.1034059934175144
34,Addison Special,Old-fashioned glass,"vodka,grenadine,orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,"vodka,grenadine,orange juice,citrus",citrus,1.1678826289713695
35,Adios Amigos Cocktail,Martini Glass,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water",Shake together all the ingredients and strain into a cold glass.,"rum,dry vermouth,cognac,gin,fresh lime juice,sugar syrup,water,citrus,sweet","citrus, sweet",9.588555149674256
36,Alaska Cocktail,Coupe,"no.3 london dry gin, green chartreuse, 3 dash orange bitters",Stir in mixing glass and serve in a chilled coupe.,"no.3 london dry gin, green chartreuse, 3 dash orange bitters,citrus,bitter","bitter, citrus",1.8794955198839216
37,Almond Brother,Coupe,"reposado tequila, luxardo amaretto di saschira,  luxardo apricot liqueur, lime juice, luxardo orgeat syrup, maple syrup","Shake with ice, strain into a coupe. No garnish.","reposado tequila, luxardo amaretto di saschira,  luxardo apricot liqueur, lime juice, luxardo orgeat syrup, maple syrup,citrus,fruity","citrus, fruity",3.719675085455673
38,Almond Crusta,Coupe,"h by hine, junipero gin, lemonjuice, orgeat, 1 dash angostura bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,"h by hine, junipero gin, lemonjuice, orgeat, 1 dash angostura bitters,citrus,bitter","bitter, citrus",10.26438617045186
39,Amaretto Bourbon Punch,Punch Bowl,"hirsch small batch reserve bourbon, luxardo amaretto di saschira, fresh lemon juice, sparkling apple juice, simple syrup, seltzer",Mix ingredients in the punch bowl.,"hirsch small batch reserve bourbon, luxardo amaretto di saschira, fresh lemon juice, sparkling apple juice, simple syrup, seltzer,citrus,fruity,sweet","citrus, fruity, sweet",1.8444159490242025
40,"Amaretto Jello Shot, Why Not",,"boiling water, 6 packages raspberry jello packages, luxardo amaretto di saschira, fresh lime juice, cold water",This is a recipe for Jello Shots!,"boiling water, 6 packages raspberry jello packages, luxardo amaretto di saschira, fresh lime juice, cold water,citrus,fruity","citrus, fruity",3.423055625413349
41,Amaretto Rose,Collins,"luxardo amaretto di saschira, lime juice,  fill club soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,"luxardo amaretto di saschira, lime juice,  fill club soda,citrus",citrus,3.921949051581475
42,Amaretto Sour,Old Fashioned Glass,"luxardo amaretto di saschira, fresh lemon juice, simple syrup, egg white",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,"luxardo amaretto di saschira, fresh lemon juice, simple syrup, egg white,citrus,sweet","citrus, sweet",2.0080478522217065
43,Amaretto Sour (Modern),Old Fashioned Glass,"luxardo amaretto di saschira, fresh squeezed lemon juice, pasteurized egg white, 1, small scoop lemon sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,"luxardo amaretto di saschira, fresh squeezed lemon juice, pasteurized egg white, 1, small scoop lemon sorbet,citrus",citrus,1.6470119807450228
44,Amaretto Sour BV-Style,Coupe,"luxardo amaretto di saschira, bourbon, fresh lime juice, pineapple juice, fresh egg white, 2 dash angostura bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,"luxardo amaretto di saschira, bourbon, fresh lime juice, pineapple juice, fresh egg white, 2 dash angostura bitters,citrus,fruity,bitter","bitter, citrus, fruity",9.447344001183922
45,Amaretto Sourball,Old Fashioned Glass,"vodka, luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.","vodka, luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice,citrus",citrus,0.893756724803593
46,Americana Fizz (Layered Cocktail),Highball Glass,"junipero gin, fresh lemon juice, simple syrup, the genuine curacao liqueur blue, luxardo aperitivo,  splash perrier grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/Curacao Blue. Top the cocktail with 1/Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.","junipero gin, fresh lemon juice, simple syrup, the genuine curacao liqueur blue, luxardo aperitivo,  splash perrier grapefruit,citrus,fruity,sweet","citrus, fruity, sweet",1.9435655178914324
47,And The Cherry On Top Is...,Tall Glass,"luxardo maraschino liqueur, vodka, root 23 cherry almond simple syrup, lemon juice,  splash club soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.","luxardo maraschino liqueur, vodka, root 23 cherry almond simple syrup, lemon juice,  splash club soda,citrus,fruity,sweet","citrus, fruity, sweet",4.038109135877801
48,Andy Warhol,Collins,"no.3 london dry gin, tempus fugit alessio vermouth bianco, fresh squeezed ruby grapefruit, simple syrup, 3 slices cucumber, 1 fill soda water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
","no.3 london dry gin, tempus fugit alessio vermouth bianco, fresh squeezed ruby grapefruit, simple syrup, 3 slices cucumber, 1 fill soda water,fruity,sweet","fruity, sweet",1.813693593306008
49,Angel Face (Classic),,"luxardo apricot liqueur, c. drouin calvados selection, no.3 london dry gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.","luxardo apricot liqueur, c. drouin calvados selection, no.3 london dry gin,fruity",fruity,0.822268660084156
50,Angel's Face,Cocktail Glass,"no.3 london dry gin, applejack, luxardo apricot liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.","no.3 london dry gin, applejack, luxardo apricot liqueur,fruity",fruity,0.8443259818698893
51,Aperitivo Spritz,,"luxardo aperitivo, prosecco, 1 splash sparkling water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.","luxardo aperitivo, prosecco, 1 splash sparkling water,floral",floral,1.4644772905699266
52,Applejack,Cocktail glass,"jack daniels,midori melon liqueur,sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass","jack daniels,midori melon liqueur,sour mix,citrus",citrus,0.7229610767380842
53,Apples & Grapes,,"tempus fugit kina l'aero d'or, c. drouin pommeau de normandie, 2 dash orange bitters",On the rocks with twist.,"tempus fugit kina l'aero d'or, c. drouin pommeau de normandie, 2 dash orange bitters,citrus,bitter","bitter, citrus",1.4440604838562845
54,Apricot Blush,,"vanilla flavored vodka, luxardo apricot liqueur, fresh sweet n' sour mix, prosecco,  oz sliced plum, 2 sprigs mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.","vanilla flavored vodka, luxardo apricot liqueur, fresh sweet n' sour mix, prosecco,  oz sliced plum, 2 sprigs mint sprig,floral,fruity","floral, fruity, herbaceous, sweet",1.5274592394759865
55,Apricot Lady,Old Fashioned Glass,"light rum, luxardo apricot liqueur,  triple sec,  lime juice, 1  egg white",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,"light rum, luxardo apricot liqueur,  triple sec,  lime juice, 1  egg white,citrus,fruity","citrus, fruity",3.7834125198977206
56,Arapa Cocktail,Martini,"barsol supremo moste verde italia pisco, junipero gin, luxardo triplum (triple sec), lemon juice, 1 dash fee bros. rhubard bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,"barsol supremo moste verde italia pisco, junipero gin, luxardo triplum (triple sec), lemon juice, 1 dash fee bros. rhubard bitters,citrus,fruity,bitter","bitter, citrus, fruity",1.7071523534736746
57,Arizona Stingers,Hurricane glass,"absolut vodka,iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,"absolut vodka,iced tea",,0.9233497273522852
58,Arizona Twister,Hurricane glass,"vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.","vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple,citrus,fruity","citrus, fruity",1.0275995548657733
59,Army special,Cocktail glass,"vodka,gin,lime juice cordial,ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.","vodka,gin,lime juice cordial,ice,citrus",citrus,0.8476914000447386
60,Assemble Mule,Highball Glass,"monkey shoulder blended scotch whisky, king's ginger liqueur, mezcal, agave syrup, lime juice, 4  mint leaves,  top prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.","monkey shoulder blended scotch whisky, king's ginger liqueur, mezcal, agave syrup, lime juice, 4  mint leaves,  top prosecco,floral,citrus,sweet","citrus, floral, herbaceous, sweet",3.6409012905531526
61,Astoria,Cocktail Glass,"junipero gin, dry vermouth, 1-2 dash orange bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.","junipero gin, dry vermouth, 1-2 dash orange bitters,citrus,bitter","bitter, citrus",0.942065498327253
62,Aviation,Cocktail glass,"gin,lemon juice,maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,"gin,lemon juice,maraschino liqueur,citrus","citrus, sweet",1.7757841512489383
63,Aviation (Adapted),Cocktail Glass,"no.3 london dry gin, luxardo maraschino liqueur, fresh lemon juice, tempus fugit liqueur de violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.","no.3 london dry gin, luxardo maraschino liqueur, fresh lemon juice, tempus fugit liqueur de violettes,floral,citrus","citrus, floral, sweet",1.89918130776394
64,B-String,Coupe,"h by hine, lustau amontillado sherry, giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.,"h by hine, lustau amontillado sherry, giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters),fruity,bitter","bitter, fruity",8.141266578628017
65,Bachelor's Bait,Cocktail Glass,"junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white",Shake with cracked ice and strain into a chilled cocktail glass.,"junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white,citrus,fruity,bitter","bitter, citrus, fruity",1.7868772796002828
66,Bacio Romana,Coupe,"luxardo bitter bianco, barsol pisco, luxardo maraschino liqueur, dry vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,"luxardo bitter bianco, barsol pisco, luxardo maraschino liqueur, dry vermouth,bitter","bitter, sweet",0.8324693061125823
67,Baile de Verano,Highball Glass,"barsol perfecto amor (aperitif wine), penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.","barsol perfecto amor (aperitif wine), penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture",,1.4788990960657449
68,Bajo Control,Hurricane Glass,"barsol perfecto amor (aperitif wine), dolin dry vermouth, lemon juice, agave syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add Lager. Garnish with an orange horse-neck peel.","barsol perfecto amor (aperitif wine), dolin dry vermouth, lemon juice, agave syrup,citrus,sweet","citrus, sweet",1.9832377501035796
69,Bakko & Zengo,,"nikka coffey grain whisky, house-made allspice dram, heavy cream, simple syrup, 1  whole egg, 2 dash chocolate bitters",Served in a snifter with grated cinnamon.,"nikka coffey grain whisky, house-made allspice dram, heavy cream, simple syrup, 1  whole egg, 2 dash chocolate bitters,sweet,bitter","bitter, sweet",1.6124071771647646
70,Banana's Froster,,"junipero gin, briottet creme de banane, cream (half & half), 2 dash chocolate bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.","junipero gin, briottet creme de banane, cream (half & half), 2 dash chocolate bitters,bitter",bitter,2.2395558977220094
71,Barbary Coast Bulldog,Bucket,"hophead vodka, luxardo espresso italian liqueur, cream, mexican coca cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.","hophead vodka, luxardo espresso italian liqueur, cream, mexican coca cola",,2.480686750073048
72,Barrel Aged Ginger Negroni,,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve.","1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth",,0.8583414575503777
73,Basil Gin and Tonic,,"lime juice, 1 spg basil, tonic water, junipero gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.","lime juice, 1 spg basil, tonic water, junipero gin,citrus","citrus, herbaceous",8.000191607106366
74,Basilway Daquiri,Coupe,"basil-infused white rum, king's ginger liqueur, fresh lime juice, luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,"basil-infused white rum, king's ginger liqueur, fresh lime juice, luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet,citrus,fruity","citrus, fruity, herbaceous, sweet",3.6914548296253775
75,Bay City Shandy,,"hophead vodka, giffard pamplemousse, lemon juice, 2 dash orange bitters,  top ipa","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.","hophead vodka, giffard pamplemousse, lemon juice, 2 dash orange bitters,  top ipa,citrus,bitter","bitter, citrus",9.442729729217948
76,Beachcomber,Cocktail Glass,"light rum,  cointreau, lime juice, luxardo maraschino liqueur, simple syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,"light rum,  cointreau, lime juice, luxardo maraschino liqueur, simple syrup (optional),citrus,sweet","citrus, sweet",4.120057265874719
77,Bermuda Highball,Collins,"chateau de montifaud cognac vsop, plymouth gin, contratto bianco vermouth, 2 dash regans' orange bitters no. 6, club soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,"chateau de montifaud cognac vsop, plymouth gin, contratto bianco vermouth, 2 dash regans' orange bitters no. 6, club soda,citrus,bitter","bitter, citrus",8.605517660147253
78,Bianco Americano,,"luxardo bitter bianco, tempus fugit kina l'aero d'or, junipero gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.,"luxardo bitter bianco, tempus fugit kina l'aero d'or, junipero gin,bitter",bitter,2.302001632800105
79,Big and Bright,Collins,"no.3 london dry gin, king's ginger liqueur, fresh grapefruit juice, honey, fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda",Serve tall on the rocks.,"no.3 london dry gin, king's ginger liqueur, fresh grapefruit juice, honey, fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda,citrus,fruity,sweet,bitter","bitter, citrus, fruity, sweet",1.857701042645025
80,Bird is the Word,Coupe,"pink pigeon rum, luxardo maraschino liqueur, green chartreuse, lime juice, pineapple juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,"pink pigeon rum, luxardo maraschino liqueur, green chartreuse, lime juice, pineapple juice,citrus,fruity","citrus, fruity, sweet",3.424778842954332
81,Bird On,,"tempus fugit creme de menthe glaciale, tempus fugit alessio vermouth bianco, h by hine, lemon juice, lime juice","Shake, serve on the rocks, garnish with a lemon wedge.","tempus fugit creme de menthe glaciale, tempus fugit alessio vermouth bianco, h by hine, lemon juice, lime juice,citrus",citrus,2.293552962850762
82,Bird on a Wire,,"pink pigeon rum, nikka whisky taketsuru pure malt 12 yo, peychaud's bitters, luxardo maraschino liqueur",Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.,"pink pigeon rum, nikka whisky taketsuru pure malt 12 yo, peychaud's bitters, luxardo maraschino liqueur,bitter","bitter, sweet",2.7821659286205422
