Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
50/50 Split,Coupe,,"1.5 oz Junipero Gin, .75 oz Dry Vermouth, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 dash The Bitter Truth Orange Bitters",Stir gently and garnish with a lemon twist.,
7th Heaven,Martini,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit juice, .25 oz Pages Elderflower Syrup, 1 dash Angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,
9 1/2 Weeks,Cocktail glass,,"2 oz Absolut Citron,1/2 oz Orange Curacao,1 splash Strawberry liqueur,1 oz Orange juice",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,
A Bloody Shame,Coupe,,"1.5 oz Vodka, .5 oz Luxardo Amaretto di Saschira, .75 oz Blood Orange Vanilla Mint Puree*, .75 oz Lime Juice","Shaken and strained into a large coupe. Garnish with a dehydrated lime wheel soaked in Angostura Bitters.

*Blood Orange Vanilla Mint Puree:
-- 1 container Boiron Blood Orange Puree (34 oz.)
-- 39 grams Mint (stems and leaves)
-- 1 tsp Vanilla Extract
-- 30 oz White Sugar

Combine all the ingredients except the mint in a pot. 
Bring to a light simmer, stirring to incorporate everything.
Then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint.
Label and date a container, then place in your fridge. Use within a week.",
A Botanical Garden,Old Fashioned Glass,,"1.5 oz Hophead Vodka, .75 oz Zirbenz Stone Pine, .75 oz Fresh Strawberry Juice w/ Xanthan Gum*, .75 oz Lemon Juice, .5 oz Simple Syrup","Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes.",*Fresh strawberry juice with xanthan gum for texture and mouthfeel: Set your digital scale to grams. Juice a pint of strawberries. Weigh the rendered liquid from the strawberries. Add .01% grams of xanthan gum to your total weight of rendered liquid and mix with an immersion blender. Fine strain the liquid.
A Gift from Zara,Wine Glass,,"1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water",Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,
A Gilligan's Island,Collins glass,,"1 oz Vodka,1 oz Peach schnapps,3 oz Orange juice,3 oz Cranberry juice","Shaken, not stirred!",
A Love Song,Martini,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur",Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,
A Mi Manera (My Way) Pisco Punch,Punch Glass,,"2 oz BarSol Selecto Italia Pisco, 1 oz Luxardo Apricot Liqueur, 2 oz Minta Soda, 1 pinch Citric Acid or Lime Juice, 1 scoop Pineapple Sorbet","Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.","Served at the ""Defining the Ultimate Pisco Punch Tasting Room"" at Tales of the Cocktail 2015"
A Regal Air ,Martini,,"3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,
A Southern Jackass,Old Fashioned Glass,,"1.5 oz Prichard's Lincoln County Lightning, .5 oz King's Ginger Liqueur, .5 oz Cinnamon-Candied Ginger Syrup*, 3 dash Angostura Bitters,  top Club Soda","Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.

*Cinnamon Candied Ginger Syrup:
Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup.",
A Tall Tell,N/A,,"9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,
A True Amaretto Sour,Old-fashioned glass,,"1 jigger Amaretto,Juice of 1/2 Lemon,
 Ice,  Maraschino cherry","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",
A.D.M. (After Dinner Mint),Irish coffee cup,,"1/2 oz White Creme de Menthe,3/4 oz Southern Comfort,1/2 oz Vodka,Fill with  Hot chocolate",shake vigorously,
A.Nise,Rocks Glass,,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,
A1,Cocktail glass,,"1 3/4 shot Gin,1 Shot Grand Marnier,1/4 Shot Lemon Juice,1/8 Shot Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",
Abano Sour,N/A,,"1.5 oz Luxardo Amaro Abano, 1 oz Fresh Lemon Juice, .25 oz Agave Nectar, 1 dash Grapefruit Bitters, .5 oz Egg White",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,
Abbey Martini,Cocktail glass,,"2 shots Gin,1 shot Sweet Vermouth,1 shot Orange Juice,3 dashes Angostura Bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",
Above My Pay Grade,Coupe,,"1.5 oz Semper Fi White Whiskey, .75 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter, 3 dash House-made Citrus Bitters",Stir and strain.,Aged in used Salt Washed Bourbon Barrel for 4 months. Can also be made to order without barrel aging it.
Abrazo Latino,Coupe,,"1.5 oz Chinaco Reposado Tequila, .75 oz Luxardo Amaro Abano, .75 oz Luxardo Triplum (Triple Sec)",Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,
Absolut Summertime,Collins glass,,"1 1/2 oz Absolut Citron,3/4 oz Sweet and sour,1/2 oz Sprite,3 oz Soda water,1 slice Lemon",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,
Absolutely Fabulous,Champagne flute,,"1 shot Vodka,2 shots Cranberry Juice,Top up with Champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,
Absolutly Screwed Up,Collins glass,,"1 shot Absolut Citron,1 shot Orange juice,1 shot Triple sec,Fill to top  Ginger ale","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",
Ace,Martini Glass,,"2 shots Gin,1/2 shot Grenadine,1/2 shot Heavy cream,1/2 shot Milk,1/2 Fresh Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,
Across The Pond,Rocks Glass,,"1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",
Adam & Eve,Cocktail glass,,"1 shot Gin,1 shot Cognac,1 shot Creme de Cassis,1/8 shot Fresh Lemon Juice",Shake together all the ingredients and strain into a cold glass.,
Addington,Cocktail glass,,"2 shots Sweet Vermouth,1 shot Dry Vermouth,Top up with Soda Water,",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,
Addison,Martini Glass,,"1 1/2 shot Gin,1 1/2 shot Vermouth",Shake together all the ingredients and strain into a cold glass.,
Addison Special,Old-fashioned glass,,"1 shot Vodka,1 tblsp Grenadine,Fill with  Orange juice",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,
Adios Amigos Cocktail,Martini Glass,,"1 shot Rum,1/2 shot Dry Vermouth,1/2 shot Cognac,1/2 shot Gin,1/4 shot Fresh Lime Juice,1/4 shot Sugar Syrup,1/2 shot Water",Shake together all the ingredients and strain into a cold glass.,
Alaska Cocktail,Coupe,,"2.25 oz No.3 London Dry Gin, .75 oz Green Chartreuse, 3 dash Orange bitters",Stir in mixing glass and serve in a chilled coupe.,
Almond Brother,Coupe,,"2 oz Reposado Tequila, .25 oz Luxardo Amaretto di Saschira, 1 tsp Luxardo Apricot Liqueur, .75 oz Lime Juice, .25 oz Luxardo Orgeat Syrup, .25 oz Maple Syrup","Shake with ice, strain into a coupe. No garnish.",
Almond Crusta,Coupe,,"1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters",Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,Photo credit: Bestia
Amaretto Bourbon Punch,Punch Bowl,,"37.5 oz Hirsch Small Batch Reserve Bourbon, 6.25 oz Luxardo Amaretto di Saschira, 12.5 oz Fresh Lemon Juice, 12.5 oz Sparkling Apple Juice, 6.25 oz Simple Syrup, 37.5 oz Seltzer",Mix ingredients in the punch bowl.,Punch Serves: 25
"Amaretto Jello Shot, Why Not",N/A,,"2 cups Boiling water, 6 packages Raspberry Jello packages, 1.25 cup Luxardo Amaretto di Saschira, .25 cup Fresh lime juice, .5 cup Cold water",This is a recipe for Jello Shots!,
Amaretto Rose,Collins,,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Lime Juice,  fill Club Soda",Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,
Amaretto Sour,Old Fashioned Glass,,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lemon Juice, .75 oz Simple Syrup, .5 oz Egg White",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,
Amaretto Sour BV-Style,Coupe,,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh Lime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,"Cocktail appeared in <a href=""http://imbibemagazine.com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE 15, 2016</a>"
Amaretto Sourball,Old Fashioned Glass,,"1 oz Vodka, 1 oz Luxardo Amaretto di Saschira, 1 splash Lemon Juice, 1 splash Orange Juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.",
Americana Fizz (Layered Cocktail),Highball Glass,,"1.5 oz Junipero Gin, .75 oz Fresh Lemon Juice, .25 oz Simple Syrup, .75 oz The Genuine Curacao Liqueur Blue, .5 oz Luxardo Aperitivo,  splash Perrier Grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/4 oz Curacao Blue. Top the cocktail with 1/2 oz Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.",
An Oaxacan Christmas,N/A,,"1.5 oz Mezcal, .5 oz Green Chartreuse, .25 oz Campari, 2 dash Regans' Orange Bitters",,
And The Cherry On Top Is...,Tall Glass,,"1 oz Luxardo Maraschino Liqueur, 3 oz Vodka, .5 oz Root 23 Cherry Almond Simple Syrup, 1 oz Lemon Juice,  splash Club Soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.","Serves 2

Created & Featured in the September 2016 <a href=""https://saloonbox.com/"" target=""_blank"" rel=""nofollow"">SaloonBox</a>"
Andy Warhol,Collins,,"1.5 oz No.3 London Dry Gin, .5 oz Tempus Fugit Alessio Vermouth Bianco, 1 oz Fresh Squeezed Ruby Grapefruit, .5 oz Simple Syrup, 3 slices Cucumber, 1 fill Soda Water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
",
Angel Face (Classic),N/A,,"1 oz Luxardo Apricot Liqueur, 1 oz C. Drouin Calvados Selection, 1 oz No.3 London Dry Gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.",
Angel's Face,Cocktail Glass,,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",Photo credit: liquor.com
Aperitivo Spritz,N/A,,"2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",
Apple Shrub Spritz,Champagne Flute,,"1 oz Karlsson's Gold Vodka, 2.5 oz Spiced apple shrub*, 2 oz Chilled club soda","In a chilled mixing glass combine the Karlsson's gold vodka and the spiced apple shrub with cracked ice and stir for 20 seconds. Add the chilled club soda to the mixing glass, stir just until mixed and strain into a frozen champagne flute. Garnish with two apple slices placed on the rim.","*Spiced apple shrub (yield- 1 qt.):

Ingredients
- 6 Organic apples (any kind, but I prefer to use gala and honey-crisp)
- 1 c. Dark brown sugar
- 1 c. Demerara sugar (sugar in the raw)
- 10 Allspice berries
- 3 Cinnamon sticks
- 2 tsp. Ground nutmeg
- 2 tsp. Ground mace
- 2 oz. Fresh ginger
- 4 Cloves
- 2 c. Apple cider vinegar (I like to use good stuff that has been aged in barrel)

Instructions
Core and chop the apples into one inch pieces and muddle them with the sugar and the spices. This should be done in small batches. Muddle them until the apples start to release their juice.
Let this mixture sit for 24 hours. This lets the apples have time to release more of their juice into the sugar and spice mixture.
The next day add the vinegar and mix well. Pour the mix into a large mason jar and let brew for a week at room temp in a dark place.
Once the week is over stir the mixture well and strain through a fine mesh sieve. Warm the shrub up if you still have residual sugar in the mix.
Cover and store in the refrigerator. This product has a very long shelf life."
Applejack,Cocktail glass,,"1 oz Jack Daniels,1/2 oz Midori melon liqueur,2 oz Sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass",
Apples & Grapes,N/A,,"1.5 oz Tempus Fugit Kina L'Aero d'Or, 1 oz C. Drouin Pommeau de Normandie, 2 dash Orange Bitters",On the rocks with twist.,Vermouth on the Roof 8/2015
Apricot Blush,N/A,,"1 oz Vanilla flavored Vodka, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh sweet n' sour mix, 3 oz Prosecco,  oz Sliced plum, 2 sprigs Mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.","When out of season, substitute plum with canned apricot."
Apricot Lady,Old Fashioned Glass,,"1.25 oz Light Rum, 1 oz Luxardo Apricot Liqueur, .25 tsp Triple Sec, 1 Tbsp Lime Juice, 1  Egg White",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,
Arapa Cocktail,Martini,,"1.5 oz BarSol Supremo Moste Verde Italia Pisco, .5 oz Junipero Gin, .75 oz Luxardo Triplum (Triple Sec), .5 oz Lemon juice, 1 dash Fee Bros. Rhubard Bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,
Arizona Stingers,Hurricane glass,,"2 shots Absolut Vodka,12 oz lemon Iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,
Arizona Twister,Hurricane glass,,"1 shot Vodka,1 shot Malibu rum,1 shot Gold tequila,1 splash Orange juice,1 splash Pineapple juice,1 splash Cream of coconut,1 dash Grenadine,crushed  Ice,1 wedge Pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",
Army special,Cocktail glass,,"30 ml Vodka,30 ml Gin,45 ml Lime juice cordial,1/2 glass crushed Ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",
Asian Affair,Highball Glass,,"2 oz Karlsson's Gold Vodka, .75 oz Boiron Kalamansi Juice, .5 oz Thai Basil Syrup*, .5 oz Cocchi Americano, 2 oz Fentimans Ginger Beer","In a Boston shaker, combine all liquid ingredients except the ginger beer with cracked ice and shake vigorously for 30 seconds. Double strain over ice into a 16 oz. highball or Collins glass and top with the ginger beer. Garnish with the candied ginger using 2 toothpicks placed on the rim of the glass.

*Thai Basil Syrup:
-- 1 C Chopped Thai Basil
-- 2 C Granulated Sugar
-- 1 C Water

In a 1 qt. saucepot bring the water and sugar to boil and stir until sugar is completely dissolved. Add the chopped Thai basil to the pot and remove from heat. Let the basil steep for 1 hour or until syrup is room temperature. Strain the basil out of the syrup using a fine mesh sieve and store covered in fridge.",
Assemble Mule,Highball Glass,,"20 ml Monkey Shoulder Blended Scotch Whisky, 15 ml King's Ginger Liqueur, 20 ml Mezcal, 20 ml Agave Syrup, 15 ml Lime Juice, 4  Mint Leaves,  top Prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.",
Astoria,Cocktail Glass,,"2 oz Junipero Gin, 1 oz Dry Vermouth, 1-2 dash Orange Bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.",
Aviation,Cocktail glass,,"4.5 cl Gin,1.5 cl lemon juice,1.5 cl maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,
Aviation (Adapted),Cocktail Glass,,"2 oz No.3 London Dry Gin, .5 oz Luxardo Maraschino Liqueur, .5 oz Fresh Lemon Juice, .25 oz Tempus Fugit Liqueur de Violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.",
B-String,Coupe,,"1.5 oz H by HINE, 1 oz Lustau Amontillado Sherry, .5 oz Giffard Banane du Brésil, 3 dash House-made Roasted Banana Bitters (or Bittermens Tiki Bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.,Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Bachelor's Bait,Cocktail Glass,,"2 oz Junipero Gin, 6 dash Grapefruit Shrub, 3 dash Orange Bitters, 1 dash Grenadine, 1  Egg White",Shake with cracked ice and strain into a chilled cocktail glass.,
Bacio Romana,Coupe,,"1.5 oz Luxardo Bitter Bianco, .5 oz BarSol Pisco, .5 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,
Baile de Verano,Highball Glass,,"2 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Penny Blue Mauritian Rum, 6 dash Celery Shrub, 3 dash House-made Tarragon Tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",
Bajo Control,Hurricane Glass,,"2 oz BarSol Perfecto Amor (Aperitif Wine), 1 oz Dolin Dry Vermouth, .75 oz Lemon Juice, .5 oz Agave Syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add 2 oz Lager. Garnish with an orange horse-neck peel.",
Bakko & Zengo,N/A,,"1.5 oz Nikka Coffey Grain Whisky, .25 oz House-made Allspice Dram, .25 oz Heavy Cream, .25 oz Simple Syrup, 1  Whole Egg, 2 dash Chocolate Bitters",Served in a snifter with grated cinnamon.,
Banana's Froster,N/A,,"1.5 oz Junipero Gin, 1 oz Briottet Creme de Banane, .5 oz Cream (Half & Half), 2 dash Chocolate Bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.","This is a light, dessert cocktail that would pair well with hot beignets."
Barbary Coast Bulldog,Bucket,,"1.5 oz Hophead Vodka, .75 oz Luxardo Espresso Italian Liqueur, 2 oz Cream, 2 oz Mexican Coca Cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.",
Barrel Aged Ginger Negroni,N/A,,"1 part Junipero Gin, 1 part King's Ginger Liqueur, 1 part Campari, 1 part Sweet Vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve.",
Basil Gin and Tonic,N/A,,"1 oz Lime Juice, 1 spg Basil, 2 oz Tonic Water, 1 oz Junipero Gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.",
Basilway Daquiri,Coupe,,"1.5 oz Basil-Infused White Rum, .5 oz King's Ginger Liqueur, .25 oz Fresh Lime Juice, .25 oz Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,
Bay City Shandy,N/A,,"1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters,  top IPA","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",
Bay Shandy,Collins,,"2 oz Pink Pigeon Rum, 1.5 oz Blood Orange Juice,  float Ale",,
Beachcomber,Cocktail Glass,,"1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,Photo credit: Roger Kamholz
Bermuda Highball,Collins,,"1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,"<a href=""http://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/?slide=2"" target=""_blank"">www.townandcountrymag.com</a>"
Bianco Americano,N/A,,"1.5 oz Luxardo Bitter Bianco, 1 oz Tempus Fugit Kina L'Aero d'Or, .5 oz Junipero Gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.,
Big and Bright,Collins,,"1.5 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, 1 oz Fresh grapefruit juice, .25 oz Honey, .25 oz Fresh lime juice , 1 dash Fire and Damnation bitters, 1 splash Club soda",Serve tall on the rocks.,"""This has been the universal fave for my tasters, industry folks and 9-5ers alike.  This would make a fine party sipper.  The fire and damnation bitters by Bad Dog were created by Jason Stevens at Bar Congress in Austin and they make this drink sing."" -Brian Floyd"
Bird is the Word,Coupe,,".75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,*Last Word variation
Bird On,N/A,,".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice","Shake, serve on the rocks, garnish with a lemon wedge.",
