Cocktail Name,Glass,strIBA,Ingredients,Instructions
Amaretto Sourball,Old Fashioned Glass,,"1 oz Vodka, 1 oz Luxardo Amaretto di Saschira, 1 splash Lemon Juice, 1 splash Orange Juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve."
Americana Fizz (Layered Cocktail),Highball Glass,,"1.5 oz Junipero Gin, .75 oz Fresh Lemon Juice, .25 oz Simple Syrup, .75 oz The Genuine Curacao Liqueur Blue, .5 oz Luxardo Aperitivo,  splash Perrier Grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/4 oz Curacao Blue. Top the cocktail with 1/2 oz Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color."
And The Cherry On Top Is...,Tall Glass,,"1 oz Luxardo Maraschino Liqueur, 3 oz Vodka, .5 oz Root 23 Cherry Almond Simple Syrup, 1 oz Lemon Juice,  splash Club Soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top."
Andy Warhol,Collins,,"1.5 oz No.3 London Dry Gin, .5 oz Tempus Fugit Alessio Vermouth Bianco, 1 oz Fresh Squeezed Ruby Grapefruit, .5 oz Simple Syrup, 3 slices Cucumber, 1 fill Soda Water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
"
Angel Face (Classic),N/A,,"1 oz Luxardo Apricot Liqueur, 1 oz C. Drouin Calvados Selection, 1 oz No.3 London Dry Gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass."
Angel's Face,Cocktail Glass,,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel."
Aperitivo Spritz,N/A,,"2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry."
Applejack,Cocktail glass,,"Jack Daniels,Midori melon liqueur,Sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass"
Apples & Grapes,N/A,,"1.5 oz Tempus Fugit Kina L'Aero d'Or, 1 oz C. Drouin Pommeau de Normandie, 2 dash Orange Bitters",On the rocks with twist.
Apricot Blush,N/A,,"1 oz Vanilla flavored Vodka, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh sweet n' sour mix, 3 oz Prosecco,  oz Sliced plum, 2 sprigs Mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco."
Apricot Lady,Old Fashioned Glass,,"1.25 oz Light Rum, 1 oz Luxardo Apricot Liqueur, .25 tsp Triple Sec, 1 Tbsp Lime Juice, 1  Egg White",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.
Arapa Cocktail,Martini,,"1.5 oz BarSol Supremo Moste Verde Italia Pisco, .5 oz Junipero Gin, .75 oz Luxardo Triplum (Triple Sec), .5 oz Lemon juice, 1 dash Fee Bros. Rhubard Bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.
Arizona Stingers,Hurricane glass,,"Absolut Vodka,Iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,Hurricane glass,,"Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,Cocktail glass,,"Vodka,Gin,Lime juice cordial,Ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Assemble Mule,Highball Glass,,"20 ml Monkey Shoulder Blended Scotch Whisky, 15 ml King's Ginger Liqueur, 20 ml Mezcal, 20 ml Agave Syrup, 15 ml Lime Juice, 4  Mint Leaves,  top Prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw."
Astoria,Cocktail Glass,,"2 oz Junipero Gin, 1 oz Dry Vermouth, 1-2 dash Orange Bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist."
Aviation,Cocktail glass,Unforgettables,"Gin,lemon juice,maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Aviation (Adapted),Cocktail Glass,,"2 oz No.3 London Dry Gin, .5 oz Luxardo Maraschino Liqueur, .5 oz Fresh Lemon Juice, .25 oz Tempus Fugit Liqueur de Violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick."
B-String,Coupe,,"1.5 oz H by HINE, 1 oz Lustau Amontillado Sherry, .5 oz Giffard Banane du Brésil, 3 dash House-made Roasted Banana Bitters (or Bittermens Tiki Bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.
Bachelor's Bait,Cocktail Glass,,"2 oz Junipero Gin, 6 dash Grapefruit Shrub, 3 dash Orange Bitters, 1 dash Grenadine, 1  Egg White",Shake with cracked ice and strain into a chilled cocktail glass.
Bacio Romana,Coupe,,"1.5 oz Luxardo Bitter Bianco, .5 oz BarSol Pisco, .5 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.
Baile de Verano,Highball Glass,,"2 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Penny Blue Mauritian Rum, 6 dash Celery Shrub, 3 dash House-made Tarragon Tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass."
Bajo Control,Hurricane Glass,,"2 oz BarSol Perfecto Amor (Aperitif Wine), 1 oz Dolin Dry Vermouth, .75 oz Lemon Juice, .5 oz Agave Syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add 2 oz Lager. Garnish with an orange horse-neck peel."
Bakko & Zengo,N/A,,"1.5 oz Nikka Coffey Grain Whisky, .25 oz House-made Allspice Dram, .25 oz Heavy Cream, .25 oz Simple Syrup, 1  Whole Egg, 2 dash Chocolate Bitters",Served in a snifter with grated cinnamon.
Banana's Froster,N/A,,"1.5 oz Junipero Gin, 1 oz Briottet Creme de Banane, .5 oz Cream (Half & Half), 2 dash Chocolate Bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig."
Barbary Coast Bulldog,Bucket,,"1.5 oz Hophead Vodka, .75 oz Luxardo Espresso Italian Liqueur, 2 oz Cream, 2 oz Mexican Coca Cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry."
Barrel Aged Ginger Negroni,N/A,,"1 part Junipero Gin, 1 part King's Ginger Liqueur, 1 part Campari, 1 part Sweet Vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve."
Basil Gin and Tonic,N/A,,"1 oz Lime Juice, 1 spg Basil, 2 oz Tonic Water, 1 oz Junipero Gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin."
Basilway Daquiri,Coupe,,"1.5 oz Basil-Infused White Rum, .5 oz King's Ginger Liqueur, .25 oz Fresh Lime Juice, .25 oz Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.
Bay City Shandy,N/A,,"1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters,  top IPA","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer."
Beachcomber,Cocktail Glass,,"1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.
Bermuda Highball,Collins,,"1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).
Bianco Americano,N/A,,"1.5 oz Luxardo Bitter Bianco, 1 oz Tempus Fugit Kina L'Aero d'Or, .5 oz Junipero Gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.
Big and Bright,Collins,,"1.5 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, 1 oz Fresh grapefruit juice, .25 oz Honey, .25 oz Fresh lime juice , 1 dash Fire and Damnation bitters, 1 splash Club soda",Serve tall on the rocks.
Bird is the Word,Coupe,,".75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.
Bird On,N/A,,".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice","Shake, serve on the rocks, garnish with a lemon wedge."
Bird on a Wire,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Peychaud's Bitters, .5 oz Luxardo Maraschino Liqueur",Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.
Bird to Buck,N/A,,"1 1/2 part Pink Pigeon Rum, 1/2 part Benedictine, 1/4 part Orgeat syrup, 1/2 part Lime,  part Fee Brothers Whiskey Barrel Bitters",Shake fine and strain on crushed ice. Top with Strong Ginger Beer.
Black Jam,N/A,,"1.5 oz Luxardo Fernet, .75 oz Honey syrup, .75 oz Fresh lemon juice, 4 oz Tonic water","Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve."
Blood & Sand,Coupe,,".75 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .75 oz Orange Juice",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.
Bloody Fernet,N/A,,"1 oz Luxardo Fernet, .75 oz Luxardo Maraschino Liqueur, 2 scoop Blood orange sorbet",Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.
Blue 88,Cocktail Glass,,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Tempus Fugit Liqueur de Violettes, .25 oz Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.
Boko Buku,Highball Glass,,"1.5 oz Mezcal, .75 oz Don Ciccio & Figli Concerto, .125 oz Vanilla Marinade, 8 dash Mole Bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.
Boomin' Granny,Champagne Flute,,"1.5 oz H by HINE, 1 oz Granny Smith Apple Juice, .5 oz Fresh Lime Juice, .5 oz Acacia Honey Syrup,  top Sparkling Wine",Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.
Bourbon Crusta,Vintage Glass,,"2 oz Bourbon, .25 oz Orchard Syrup, .25 oz Lemon Juice, 1 bsp Luxardo Triplum (Triple Sec), 1 bsp Luxardo Maraschino Liqueur, 3 dash Boker’s Bitters","Stir with pebble ice, strain into rimmed vintage glass."
Brazilian Mai Tai,Bucket,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 3 oz Mai Tai Mix, 1 splash Soda Water, 1 float English Harbour Rum","Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish."
Brazilian Mule Punch,N/A,,"2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, 1 part Fresh Lime Juice, 1 part Ancho Chile-Infused Simple Syrup, 1 float Ginger Beer, 2 dash Angostura Bitters","Punch Preparation Instructions:
Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. 

*You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.


Individual Cocktail Preparation Instructions:
Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish."
Brisa del Sur,N/A,,"1.5 oz BarSol Selecto Italia Pisco, .5 oz Rocoto passion fruit reduction, .5 oz Fresh lime juice, .5 oz Simple syrup",Top with Grapefruit soda. Shake and strain into ice filled glass.
Bubbleliciously Delicious,N/A,,".5 oz Luxardo Fernet, 1.5 oz Luxardo Triplum (Triple Sec), 1 dash Angostura bitters, 2 slices Satsuma slices, 2 oz Sioux City Sarsparilla Soda",Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.
Bubbly Bird,Champagne Flute,,"1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet",Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.
Buccaneer,Coupe,,"2 oz Junipero Gin, .5 oz Campari, .5 oz Velvet Falernum, 1 oz Lime Juice, .5 oz Simple Syrup, 3 large chunks Pineapple",Muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. Add all other ingredients. Give the mixture a hard shake. Double strain into chilled coupe.
Buenaventura,Cocktail Glass,,".75 oz BarSol Primero Quebranta Pisco, .75 oz El Tesoro Reposado Tequila, .5 oz Grüner Veltliner, .5 oz Lime, .25 oz Pineapple Gum, 1 bsp Sweet Marmalade",Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.
Bunny Poison,Cocktail Glass,,"2 oz Rhubarb Cucumber & Mint-Infused Junipero Gin, .75 oz Lemon Juice, .75 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Rhubarb Juice, .5 oz Grapefruit Juice, .5 oz Rhubarb Syrup, 2 dash Fee Brothers Celery Bitters","Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise."
Bushido Cocktail,Cocktail Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Pedro Ximenez Sherry, 2 dash Angostura Bitters",Stir ingredients and strain into cocktail glass. Garnish with Luxardo Cherry.
Buster Crusta,Coupe,,"2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet","Shake, fine strain into chilled frosted coupe, float Fernet."
Buzzard's Bay,Rocks Glass,,"2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea",Build and pour in punch bowl over large ice block.
Cafe Creole,N/A,,"1.5 oz Pink Pigeon Rum, 1 oz Luxardo Espresso Italian Liqueur, 1.5 oz Heavy cream, .75 oz Simple syrup","In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.
In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.
"
