,place,name,year,month,visitors
7,8 ,Mai Tai,2020,April,49
8,9 ,Zombie,2020,April,47
9,10 ,Wiki Waki Woo,2020,April,41
0,1 ,Zerstörer,2020,Mai,66
1,2 ,Baby Aspirin,2020,Mai,56
2,3 ,Sex On The Beach,2020,Mai,46
3,4 ,Schwanzlstürzer,2020,Mai,38
4,5 ,Irish Flag (alkoholisch),2020,Mai,36
5,6 ,Mojito original,2020,Mai,34
6,7 ,Lady Finger,2020,Mai,33
7,8 ,Long Island Icetea,2020,Mai,33
8,9 ,Mai Tai,2020,Mai,33
9,10 ,Merlin,2020,Mai,32
0,1 ,Zerstörer,2020,Juni,65
1,2 ,Sex On The Beach,2020,Juni,51
2,3 ,Baby Aspirin,2020,Juni,48
3,4 ,Mai Tai,2020,Juni,39
4,5 ,Mojito original,2020,Juni,36
5,6 ,'57 Chevy,2020,Juni,34
6,7 ,Caipirinha,2020,Juni,34
7,8 ,Irish Flag (alkoholisch),2020,Juni,33
8,9 ,Speed King,2020,Juni,31
9,10 ,Omas offenes Bein,2020,Juni,30
0,1 ,Baby Aspirin,2020,Juli,79
1,2 ,Omas offenes Bein,2020,Juli,66
2,3 ,Sex On The Beach,2020,Juli,66
3,4 ,Zerstörer,2020,Juli,64
4,5 ,Irish Flag (alkoholisch),2020,Juli,61
5,6 ,Caipirinha,2020,Juli,60
6,7 ,Long Island Icetea,2020,Juli,50
7,8 ,Speed King,2020,Juli,49
8,9 ,Zombie,2020,Juli,48
9,10 ,'57 Chevy,2020,Juli,48
0,1 ,Zerstörer,2020,August,37
1,2 ,Baby Aspirin,2020,August,34
2,3 ,Speed King,2020,August,33
3,4 ,Omas offenes Bein,2020,August,30
4,5 ,Bavorak,2020,August,28
5,6 ,Irish Flag (alkoholisch),2020,August,26
6,7 ,Caipirinha,2020,August,26
7,8 ,Schwanzlstürzer,2020,August,25
8,9 ,Long Island Icetea,2020,August,23
9,10 ,Wiki Waki Woo,2020,August,22
0,1 ,Zerstörer,2020,September,99
1,2 ,Schwanzlstürzer,2020,September,62
2,3 ,Baby Aspirin,2020,September,49
3,4 ,Bavorak,2020,September,49
4,5 ,Sex On The Beach,2020,September,39
5,6 ,Pangalaktischer Donnergurgler,2020,September,38
6,7 ,Froschmilch,2020,September,37
7,8 ,Frensh 75 (CDrink),2020,September,37
8,9 ,Speed King,2020,September,37
9,10 ,Dream Cocktail,2020,September,31
0,1 ,Zerstörer,2020,Oktober,121
1,2 ,Speed King,2020,Oktober,76
2,3 ,Sex On The Beach,2020,Oktober,70
3,4 ,Omas offenes Bein,2020,Oktober,63
4,5 ,Schwanzlstürzer,2020,Oktober,63
5,6 ,Baby Aspirin,2020,Oktober,61
6,7 ,Irish Flag (alkoholisch),2020,Oktober,56
7,8 ,Caipirinha,2020,Oktober,52
8,9 ,Mojito original,2020,Oktober,47
9,10 ,Long Island Icetea,2020,Oktober,44
0,1 ,Zerstörer,2020,November,109
1,2 ,Speed King,2020,November,78
2,3 ,Schwanzlstürzer,2020,November,60
3,4 ,Bavorak,2020,November,49
4,5 ,Sex On The Beach,2020,November,49
5,6 ,Irish Flag (alkoholisch),2020,November,47
6,7 ,Baby Aspirin,2020,November,47
7,8 ,Mai Tai,2020,November,39
8,9 ,'57 Chevy,2020,November,39
9,10 ,Wiki Waki Woo,2020,November,38
0,1 ,Zerstörer,2020,Dezember,82
1,2 ,Speed King,2020,Dezember,68
2,3 ,Sex On The Beach,2020,Dezember,66
3,4 ,Irish Flag (alkoholisch),2020,Dezember,59
4,5 ,Long Island Icetea,2020,Dezember,49
5,6 ,Schwanzlstürzer,2020,Dezember,47
6,7 ,Omas offenes Bein,2020,Dezember,47
7,8 ,Baby Aspirin,2020,Dezember,42
8,9 ,Mai Tai,2020,Dezember,42
9,10 ,Zombie,2020,Dezember,40
