Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,popularity
Amaretto Sourball,Old Fashioned Glass,,"1 oz vodka, 1 oz luxardo amaretto di saschira, 1 splash lemon juice, 1 splash orange juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.",0,1,0,0,0,0,0,
Americana Fizz (Layered Cocktail),Highball Glass,,"1.5 oz junipero gin, .75 oz fresh lemon juice, .25 oz simple syrup, .75 oz the genuine curacao liqueur blue, .5 oz luxardo aperitivo,  splash perrier grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/4 oz Curacao Blue. Top the cocktail with 1/2 oz Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.",0,1,0,1,0,1,0,
And The Cherry On Top Is...,Tall Glass,,"1 oz luxardo maraschino liqueur, 3 oz vodka, .5 oz root 23 cherry almond simple syrup, 1 oz lemon juice,  splash club soda","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.",0,1,0,1,0,1,0,
Andy Warhol,Collins,,"1.5 oz no.3 london dry gin, .5 oz tempus fugit alessio vermouth bianco, 1 oz fresh squeezed ruby grapefruit, .5 oz simple syrup, 3 slices cucumber, 1 fill soda water","Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil.
",0,0,0,1,0,1,0,
Angel Face (Classic),,,"1 oz luxardo apricot liqueur, 1 oz c. drouin calvados selection, 1 oz no.3 london dry gin","Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.",0,0,0,1,0,0,0,
Angel's Face,Cocktail Glass,,"1 oz no.3 london dry gin, 1 oz applejack, 1 oz luxardo apricot liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",0,0,0,1,0,0,0,
Aperitivo Spritz,,,"2 oz luxardo aperitivo, 3 oz prosecco, 1 splash sparkling water","Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",1,0,0,0,0,0,0,
Applejack,Cocktail glass,,"jack daniels,midori melon liqueur,sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass",0,1,0,0,0,0,0,
Apples & Grapes,,,"1.5 oz tempus fugit kina l'aero d'or, 1 oz c. drouin pommeau de normandie, 2 dash orange bitters",On the rocks with twist.,0,1,0,0,0,0,1,
Apricot Blush,,,"1 oz vanilla flavored vodka, .75 oz luxardo apricot liqueur, 1 oz fresh sweet n' sour mix, 3 oz prosecco,  oz sliced plum, 2 sprigs mint sprig","In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.",1,0,0,1,0,0,0,
Apricot Lady,Old Fashioned Glass,,"1.25 oz light rum, 1 oz luxardo apricot liqueur, .25 tsp triple sec, 1 tbsp lime juice, 1  egg white",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,0,1,0,1,0,0,0,
Arapa Cocktail,Martini,,"1.5 oz barsol supremo moste verde italia pisco, .5 oz junipero gin, .75 oz luxardo triplum (triple sec), .5 oz lemon juice, 1 dash fee bros. rhubard bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,0,1,0,1,0,0,1,
Arizona Stingers,Hurricane glass,,"absolut vodka,iced tea",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,0,0,0,0,0,0,0,
Arizona Twister,Hurricane glass,,"vodka,malibu rum,gold tequila,orange juice,pineapple juice,cream of coconut,grenadine,ice,pineapple","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",0,1,0,1,0,0,0,
Army special,Cocktail glass,,"vodka,gin,lime juice cordial,ice","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",0,1,0,0,0,0,0,
Assemble Mule,Highball Glass,,"20 ml monkey shoulder blended scotch whisky, 15 ml king's ginger liqueur, 20 ml mezcal, 20 ml agave syrup, 15 ml lime juice, 4  mint leaves,  top prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.

Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.",1,1,0,0,0,1,0,
Astoria,Cocktail Glass,,"2 oz junipero gin, 1 oz dry vermouth, 1-2 dash orange bitters","Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.",0,1,0,0,0,0,1,
Aviation,Cocktail glass,Unforgettables,"gin,lemon juice,maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,0,1,0,0,0,0,0,
Aviation (Adapted),Cocktail Glass,,"2 oz no.3 london dry gin, .5 oz luxardo maraschino liqueur, .5 oz fresh lemon juice, .25 oz tempus fugit liqueur de violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.",1,1,0,0,0,0,0,
B-String,Coupe,,"1.5 oz h by hine, 1 oz lustau amontillado sherry, .5 oz giffard banane du brésil, 3 dash house-made roasted banana bitters (or bittermens tiki bitters)",Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.,0,0,0,1,0,0,1,
Bachelor's Bait,Cocktail Glass,,"2 oz junipero gin, 6 dash grapefruit shrub, 3 dash orange bitters, 1 dash grenadine, 1  egg white",Shake with cracked ice and strain into a chilled cocktail glass.,0,1,0,1,0,0,1,
Bacio Romana,Coupe,,"1.5 oz luxardo bitter bianco, .5 oz barsol pisco, .5 oz luxardo maraschino liqueur, .5 oz dry vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,0,0,0,0,0,0,1,
Baile de Verano,Highball Glass,,"2 oz barsol perfecto amor (aperitif wine), .5 oz penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture","Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",0,0,0,0,0,0,0,
Bajo Control,Hurricane Glass,,"2 oz barsol perfecto amor (aperitif wine), 1 oz dolin dry vermouth, .75 oz lemon juice, .5 oz agave syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add 2 oz Lager. Garnish with an orange horse-neck peel.",0,1,0,0,0,1,0,
Bakko & Zengo,,,"1.5 oz nikka coffey grain whisky, .25 oz house-made allspice dram, .25 oz heavy cream, .25 oz simple syrup, 1  whole egg, 2 dash chocolate bitters",Served in a snifter with grated cinnamon.,0,0,0,0,0,1,1,
Banana's Froster,,,"1.5 oz junipero gin, 1 oz briottet creme de banane, .5 oz cream (half & half), 2 dash chocolate bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.",0,0,0,0,0,0,1,
Barbary Coast Bulldog,Bucket,,"1.5 oz hophead vodka, .75 oz luxardo espresso italian liqueur, 2 oz cream, 2 oz mexican coca cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.",0,0,0,0,0,0,0,
Barrel Aged Ginger Negroni,,,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth","Mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. Transfer into glass bottles and rest for a minimum of 3 days. Make giant (2"" x 2"") ice cubes with an orange peel frozen inside. Pour negroni on ice cube and serve.",0,0,0,0,0,0,0,
Basil Gin and Tonic,,,"1 oz lime juice, 1 spg basil, 2 oz tonic water, 1 oz junipero gin","Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.",0,1,0,0,0,0,0,
Basilway Daquiri,Coupe,,"1.5 oz basil-infused white rum, .5 oz king's ginger liqueur, .25 oz fresh lime juice, .25 oz luxardo maraschino liqueur, 1 bsp, large grapefruit sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,0,1,0,1,0,0,0,
Bay City Shandy,,,"1.5 oz hophead vodka, .75 oz giffard pamplemousse, .5 oz lemon juice, 2 dash orange bitters,  top ipa","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",0,1,0,0,0,0,1,
Beachcomber,Cocktail Glass,,"1.5 oz light rum, .75 oz  cointreau, .75 oz lime juice, .25 oz luxardo maraschino liqueur, .125 oz simple syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,0,1,0,0,0,1,0,
Bermuda Highball,Collins,,"1 oz chateau de montifaud cognac vsop, 1 oz plymouth gin, 1 oz contratto bianco vermouth, 2 dash regans' orange bitters no. 6, 3 oz club soda",Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,0,1,0,0,0,0,1,
Bianco Americano,,,"1.5 oz luxardo bitter bianco, 1 oz tempus fugit kina l'aero d'or, .5 oz junipero gin",Topped with about 4 oz. of LaCroix Pamplemousse. Garnish with grapefruit twist and thyme.,0,0,0,0,0,0,1,
Big and Bright,Collins,,"1.5 oz no.3 london dry gin, .5 oz king's ginger liqueur, 1 oz fresh grapefruit juice, .25 oz honey, .25 oz fresh lime juice , 1 dash fire and damnation bitters, 1 splash club soda",Serve tall on the rocks.,0,1,0,1,0,1,1,
Bird is the Word,Coupe,,".75 oz pink pigeon rum, .75 oz luxardo maraschino liqueur, .75 oz green chartreuse, .5 oz lime juice, .5 oz pineapple juice",Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,0,1,0,1,0,0,0,
Bird On,,,".75 oz tempus fugit creme de menthe glaciale, .75 oz tempus fugit alessio vermouth bianco, .75 oz h by hine, .375 oz lemon juice, .375 oz lime juice","Shake, serve on the rocks, garnish with a lemon wedge.",0,1,0,0,0,0,0,
Bird on a Wire,,,"1.5 oz pink pigeon rum, .5 oz nikka whisky taketsuru pure malt 12 yo, .5 oz peychaud's bitters, .5 oz luxardo maraschino liqueur",Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.,0,0,0,0,0,0,1,
Bird to Buck,,,"1 1/2 part pink pigeon rum, 1/2 part benedictine, 1/4 part orgeat syrup, 1/2 part lime,  part fee brothers whiskey barrel bitters",Shake fine and strain on crushed ice. Top with Strong Ginger Beer.,0,1,0,0,0,0,1,
Black Jam,,,"1.5 oz luxardo fernet, .75 oz honey syrup, .75 oz fresh lemon juice, 4 oz tonic water","Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve.",0,1,0,0,0,1,0,
Blood & Sand,Coupe,,".75 oz glenrothes vintage reserve, .75 oz tempus fugit alessio vermouth di torino rosso, .75 oz luxardo sangue morlacco cherry liqueur, .75 oz orange juice",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.,0,1,0,1,0,0,0,
Bloody Fernet,,,"1 oz luxardo fernet, .75 oz luxardo maraschino liqueur, 2 scoop blood orange sorbet",Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.,0,1,0,0,0,0,0,
Blue 88,Cocktail Glass,,"1.5 oz no.3 london dry gin, .25 oz lemon juice, .25 oz pages elderflower syrup, .25 oz tempus fugit liqueur de violettes, .25 oz luxardo maraschino liqueur",Shake well with lots of ice. Strain into cocktail glass.,1,1,0,0,0,0,0,
Boko Buku,Highball Glass,,"1.5 oz mezcal, .75 oz don ciccio & figli concerto, .125 oz vanilla marinade, 8 dash mole bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,0,0,0,0,0,0,1,
Boomin' Granny,Champagne Flute,,"1.5 oz h by hine, 1 oz granny smith apple juice, .5 oz fresh lime juice, .5 oz acacia honey syrup,  top sparkling wine",Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,0,1,0,1,0,1,0,
Bourbon Crusta,Vintage Glass,,"2 oz bourbon, .25 oz orchard syrup, .25 oz lemon juice, 1 bsp luxardo triplum (triple sec), 1 bsp luxardo maraschino liqueur, 3 dash boker’s bitters","Stir with pebble ice, strain into rimmed vintage glass.",0,1,0,1,0,0,1,
Brazilian Mai Tai,Bucket,,"1.5 oz ypioca brasilizar cachaca prata classica, 3 oz mai tai mix, 1 splash soda water, 1 float english harbour rum","Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish.",0,0,0,0,0,0,0,5761
Brazilian Mule Punch,,,"2 part ypioca brasilizar cachaca prata reserva especial, 1 part fresh lime juice, 1 part ancho chile-infused simple syrup, 1 float ginger beer, 2 dash angostura bitters","Punch Preparation Instructions:
Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. 

*You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.


Individual Cocktail Preparation Instructions:
Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish.",0,1,0,0,0,1,1,
Brisa del Sur,,,"1.5 oz barsol selecto italia pisco, .5 oz rocoto passion fruit reduction, .5 oz fresh lime juice, .5 oz simple syrup",Top with Grapefruit soda. Shake and strain into ice filled glass.,0,1,0,0,0,1,0,
Bubbleliciously Delicious,,,".5 oz luxardo fernet, 1.5 oz luxardo triplum (triple sec), 1 dash angostura bitters, 2 slices satsuma slices, 2 oz sioux city sarsparilla soda",Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,0,0,0,1,0,0,1,
Bubbly Bird,Champagne Flute,,"1 oz pink pigeon rum, 1 fill champagne, 1 dash angostura bitters, 1 dash peach bitters, 1 dash luxardo fernet",Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,0,0,0,1,0,0,1,
Buccaneer,Coupe,,"2 oz junipero gin, .5 oz campari, .5 oz velvet falernum, 1 oz lime juice, .5 oz simple syrup, 3 large chunks pineapple",Muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. Add all other ingredients. Give the mixture a hard shake. Double strain into chilled coupe.,0,1,0,1,0,1,0,
Buenaventura,Cocktail Glass,,".75 oz barsol primero quebranta pisco, .75 oz el tesoro reposado tequila, .5 oz grüner veltliner, .5 oz lime, .25 oz pineapple gum, 1 bsp sweet marmalade",Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,0,1,0,1,0,0,0,
Bunny Poison,Cocktail Glass,,"2 oz rhubarb cucumber & mint-infused junipero gin, .75 oz lemon juice, .75 oz tempus fugit alessio vermouth bianco, .5 oz rhubarb juice, .5 oz grapefruit juice, .5 oz rhubarb syrup, 2 dash fee brothers celery bitters","Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise.",0,1,0,1,0,0,1,
